Name,Latitude,Longitude,Polygon Number
L’Albero dei Gelati,45.6461,9.0815,N/A
"Gusto 17 - Arco della Pace, Milano",45.4774,9.1727,1
Lo's,45.471,9.1844,1
Bisi Pizzeria Verace,45.7037,9.2026,N/A
Pizzeria Ristorante Il Regno Di Napoli,45.9341,8.5724,N/A
Birrificio Brasseria Soralamà,45.1071,7.2922,N/A
La Perla Nera,44.3978,8.2755,N/A
"Gelateria Via Piave, Noventa di Piave",45.6608,12.5288,N/A
Kyo Restaurant,45.7291,8.5778,N/A
Inari Sushi,45.4061,11.2477,N/A
Kokoro Sushi Restaurant,45.3184,9.4992,N/A
Gelateria Malibu 'By Sironi Andrea,45.6772,9.2355,N/A
MITO SUSHI RESTAURANT,45.3578,9.3171,N/A
Perla d'Oriente,45.5419,8.0714,N/A
Pizza Garage,45.4516,8.6498,2
Dinzu Restaurant Treviso,45.6686,12.1811,N/A
Yummy sushi,45.9491,8.8395,N/A
La Casa dei Bardi,44.6874,10.5247,N/A
Laguna Blu,45.8234,13.2144,N/A
Suban,45.6534,13.8082,N/A
Pizzeria Giordano (Ex2001),45.5595,8.0518,N/A
Monkey Steakhouse & Cocktail bar,45.9045,8.4196,N/A
Restaurant Pizzeria Al Passetto,46.5394,12.1371,N/A
Ristorante Pizzeria Le Scuderie,45.2063,10.7959,N/A
La Tenda Rossa,45.9721,9.0704,N/A
Il Pacero Pizzeria e Tigelleria,44.8955,11.6043,N/A
La Corte - Pizzeria Trattoria (Ex Rispoli),46.0277,13.2052,N/A
Ristorante La terra degli ulivi,45.6949,8.8532,N/A
Ristorante da Martino,44.3088,10.9064,N/A
Stefy Gelateria di Gasparini Stefania,45.4149,11.1823,N/A
Ristorante Trattoria La Stanga di Campari E. & F.,45.3177,9.6168,N/A
L'angolo di Mel,45.792,6.9714,N/A
Walla Walla - tasty burger,44.9113,8.6144,N/A
Ristorante Pizzeria Don Peppino,45.1718,7.6516,N/A
Zen Sushi,45.4597,9.1887,1
Ristorante Pizzeria l'Ancora,45.0023,9.1369,N/A
La Sella d'Oro,45.9536,8.8761,N/A
La Cascina Gastronomia e Bacaro,45.426,12.0731,N/A
Ristorante Pizzeria da Gennaro,45.8773,12.3029,N/A
Ristorante Passata,45.7946,9.7253,N/A
Ristorante Pizzeria agli Eremitani,45.4108,11.8814,8
Le Tre Ciose,45.4149,9.9228,N/A
TEX MEX Saloon,45.7886,11.9046,N/A
Speck Stube l’originale - Malcesine,45.7838,10.8211,N/A
Gelateria Cavallar,46.4085,11.1376,N/A
Route 66 DSG,45.52,10.1016,N/A
Inverness Pub,45.8575,12.3294,N/A
PIZZAMORE,45.7232,12.2539,N/A
Bar Perla,45.4913,12.2429,N/A
Pasticceria Adolfo Stefanelli,45.464,9.2077,1
Itoya,45.815,8.8299,N/A
Passione Pizza,44.3945,7.5518,N/A
Ristorante Pizzeria La Colomba,45.4101,11.2136,N/A
Lon Fon,45.4782,9.2025,1
Rishi Restaurant Fusion,45.6893,11.4837,N/A
Ristorante Giapponese Kanji,45.5129,12.6608,N/A
Zelo Gelateria,44.3051,8.4819,N/A
Ravioleria Sarpi,45.4813,9.1761,1
MagiClem,45.5541,8.9528,N/A
L'angolo del gelato,45.6782,9.1213,N/A
Bar Tavola Calda Domio,45.6111,13.8285,N/A
Elio's Burger & grill,44.9008,8.604,N/A
Ristorante Pizzeria Al Lago,45.8116,10.517,N/A
RISTORANTE GOEN,45.3885,10.4807,N/A
JI Sushi,45.7147,9.5607,N/A
Ristorante Pizzeria Stadio,45.6733,13.1009,N/A
da Ciro Leone 1924,45.4404,10.9978,9
ZenzeroBlu,44.3863,11.5892,N/A
Ristorante Pizzeria La Baitella,45.8872,9.9957,N/A
Gelateria De Martin & C Snc,45.9484,12.4155,N/A
La pizzeria Tradizionale,45.452,9.1769,1
Sportcenter Deutschnofen,46.4131,11.4342,N/A
La Giara,45.5639,8.1452,N/A
Pizzeria il Cigno,44.7801,7.7766,N/A
Pizzeria Area 6,44.4196,7.8488,N/A
Pasticceria Buzzi,45.7383,7.4655,N/A
Gelateria Caffetteria Ketty,45.2564,11.1232,N/A
Biwak Restaurant Pizzeria Pub,46.904,11.4295,N/A
Pasticceria Zarotti,44.6806,10.2865,N/A
Buddineria Budineria Naturalmente,45.3356,11.7324,N/A
Restaurant Pizzeria Pfeffermühle,46.4474,11.2651,N/A
Lo Schiaccianoci,44.6097,11.8381,N/A
Al Nuovo Faraone,44.9438,10.4746,N/A
Birrone - Birrificio Artigianale Agricolo Vicenza,45.6201,11.4632,N/A
